drug_id,side_effect
CID100000444,Neck pain
CID100000444,Pleuritic pain
CID100000444,Pleuritic pain
CID100000444,Chest wall pain
CID100000444,Confusional state
CID100000444,Deafness
CID100000444,Disturbance in sexual arousal
CID100000444,Dysphagia
CID100000444,Dental caries
CID100000444,Dermatitis atopic
CID100000444,Dizziness
CID100000444,Drug abuse
CID100000444,Enuresis
CID100000444,Epistaxis
CID100000444,Epistaxis
CID100000444,Dermatitis
CID100000444,Excoriation
CID100000444,Extrapyramidal disorder
CID100000444,Fatigue
CID100000444,Localised infection
CID100000444,Gingivitis
CID100000444,Seasonal allergy
CID100000444,Hepatitis C
CID100000444,Hostility
CID100000444,Hunger
CID100000444,Hypotension
CID100000444,Jaundice
CID100000444,Laryngitis
CID100000444,Laryngitis
CID100000444,Hypertonia
CID100000444,Muscle rigidity
CID100000444,Mydriasis
CID100000444,Tension
CID100000444,Neuralgia
CID100000444,Night sweats
CID100000444,Orgasm abnormal
CID100000444,Pain
CID100000444,Pain in extremity
CID100000444,Pallor
CID100000444,Pelvic infection
CID100000444,Polyuria
CID100000444,Premenstrual syndrome
CID100000444,Prurigo
CID100000444,Sneezing
CID100000444,Suicide attempt
CID100000444,Sweating
CID100000444,Hyperhidrosis
CID100000444,Syncope
CID100000444,Vaginal inflammation
CID100000444,Urinary retention
CID100000444,Pollakiuria
CID100000444,Mood swings
CID100000444,Photophobia
CID100000444,Panic attack
CID100000444,Withdrawal symptom
CID100000444,Mouth ulceration
CID100000444,Migraine
CID100000444,Swelling face
CID100000444,Electroencephalogram abnormal
CID100000444,Manic psychosis
CID100000444,Eye pain
CID100000444,Eye pain
CID100000444,Tendon disorder
CID100000444,Duodenal ulcer haemorrhage
CID100000444,Sensory disturbance
CID100000444,Lacrimation increased
CID100000444,Facial bones fracture
CID100000444,Photosensitivity reaction
CID100000444,Dyspepsia
CID100000444,Decreased appetite
CID100000444,Tension
CID100000444,Derealisation
CID100000444,"Hallucination, auditory"
CID100000444,Difficulty sleeping
CID100000444,Dermal cyst
CID100000444,Erectile dysfunction
CID100000444,Nerve compression
CID100000444,Painful ejaculation
CID100000444,Dry eye
CID100000444,Viral upper respiratory tract infection
CID100000444,Akathisia
CID100000444,Chills
CID100000444,Defaecation urgency
CID100000444,Wrist fracture
CID100000444,Neuropathy
CID100000444,Neuropathy peripheral
CID100000444,Dyslexia
CID100000444,Dyslexia
CID100000444,Conjunctivitis infective
