drug_id,Percentage,Sideview
CID100000444,0.001,Flushing
CID100000444,0.001,Female sexual arousal disorder
CID100000444,0.0,Gastrooesophageal reflux disease
CID100000444,0.255121,Gastrointestinal disorder
CID100000444,0.255121,Gastrointestinal disorder
CID100000444,0.0,Gastrointestinal haemorrhage
CID100000444,0.0,Gastrointestinal haemorrhage
CID100000444,0.0,Gingival bleeding
CID100000444,0.0,Gingival bleeding
CID100000444,0.0,Glycosuria
CID100000444,0.001,Gynaecomastia
CID100000444,0.0,Hallucination
CID100000444,0.26,Headache
CID100000444,0.0,Hirsutism
CID100000444,0.0,Hostility
CID100000444,0.0,Hypersensitivity
CID100000444,0.0,Hypertension
CID100000444,0.0,Hypertension
CID100000444,0.025,Hypotension
CID100000444,0.0,Orthostatic hypotension
CID100000444,0.0,Orthostatic hypotension
CID100000444,0.0,Libido increased
CID100000444,0.024,Influenza
CID100000444,0.062,Influenza
CID100000444,0.005,Irritability
CID100000444,0.03,Irritability
CID100000444,0.0,Irritability
CID100000444,0.01,Muscle spasms
CID100000444,0.001,Muscle spasms
CID100000444,0.0,Leukocytosis
CID100000444,0.005,Hypertonia
CID100000444,0.0,Muscle rigidity
CID100000444,0.11,Nausea
CID100000444,0.09,Nausea
CID100000444,0.09,Nausea
CID100000444,0.003,Nausea
CID100000444,0.04,Nausea
CID100000444,0.045,Nervousness
CID100000444,0.045,Nervousness
CID100000444,0.0,Neuralgia
CID100000444,0.01,Nocturia
CID100000444,0.013,Pain
CID100000444,0.013,Pain
CID100000444,0.03,Pain
CID100000444,0.0,Pallor
CID100000444,0.0,Palpitations
CID100000444,0.0,Palpitations
CID100000444,0.013,Pharyngitis
CID100000444,0.11,Pharyngitis
CID100000444,0.02,Pharyngitis
CID100000444,0.029,Pharyngitis
CID100000444,0.0,Pharyngitis
CID100000444,0.0,Prostatic disorder
CID100000444,0.03,Pruritus
CID100000444,0.0,Pruritus
CID100000444,0.01,Pruritus
CID100000444,0.096,Rhinitis
CID100000444,0.01,Sinusitis
CID100000444,0.019,Skin disorder
CID100000444,0.019,Skin disorder
CID100000444,0.0,Stevens-Johnson syndrome
CID100000444,0.05,Sweating
CID100000444,0.012,Shock
CID100000444,0.012,Syncope
CID100000444,0.0,Dizziness
CID100000444,0.0,Syncope
CID100000444,0.005,Dizziness
CID100000444,0.005,Syncope
CID100000444,0.108,Tachycardia
CID100000444,0.001,Tachycardia
CID100000444,0.086,Tachycardia
CID100000444,0.0,Thirst
CID100000444,0.018,Tinnitus
CID100000444,0.039,Tinnitus
CID100000444,0.0,Tremor
CID100000444,0.211,Tremor
CID100000444,0.0,Tremor
CID100000444,0.09,Upper respiratory tract infection
CID100000444,0.02,Pollakiuria
CID100000444,0.01,Urinary tract infection
CID100000444,0.001,Urinary tract infection
CID100000444,0.0,Urticaria
CID100000444,0.008,Urticaria
CID100000444,0.0,Urticaria
CID100000444,0.0,Urticaria
CID100000444,0.001,Vertigo
CID100000444,0.0,Vertigo
CID100000444,0.016,Vomiting
CID100000444,0.232,Weight decreased
CID100000444,0.1,Dry mouth
CID100000444,0.012,Chills
CID100000444,0.0,Chills
CID100000444,0.005,Chills
CID100000444,0.02,Micturition urgency
CID100000444,0.0,Micturition urgency
CID100000444,0.08,Akinesia
CID100000444,0.018,Agitation
CID100000444,0.018,Agitation
CID100000444,0.03,Agitation
CID100000444,0.319,Agitation
CID100000444,0.01,Agitation
CID100000444,0.0,Agitation
CID100000444,0.0,Oedema peripheral
CID100000444,0.001,Stomatitis
CID100000444,0.01,Mouth ulceration
CID100000444,0.0,Migraine
CID100000444,0.001,Migraine
CID100000444,0.0,Migraine
CID100000444,0.222,Migraine
CID100000444,0.17,Application site reaction
CID100000444,0.07,Application site reaction
CID100000444,0.0,Tongue disorder
CID100000444,0.0,Electroencephalogram abnormal
CID100000444,0.0,Hepatocellular injury
CID100000444,0.01,Malnutrition
CID100000444,0.0,Discomfort
CID100000444,0.02,Myalgia
CID100000444,0.02,Myalgia
CID100000444,0.03,Musculoskeletal discomfort
CID100000444,0.05,Musculoskeletal discomfort
CID100000444,0.0,Musculoskeletal discomfort
CID100000444,0.02,Myalgia
CID100000444,0.03,Myalgia
CID100000444,0.03,Musculoskeletal discomfort
CID100000444,0.008,Muscle twitching
CID100000444,0.001,Muscle twitching
CID100000444,0.0,Muscle twitching
CID100000444,0.022,Increased appetite
CID100000444,0.0,Dysphoria
CID100000444,0.086,Bradykinesia
CID100000444,0.03,Abnormal dreams
CID100000444,0.005,Euphoric mood
CID100000444,0.03,Disturbance in attention
CID100000444,0.0,Swollen tongue
CID100000444,0.0,Swollen tongue
CID100000444,0.032,Auditory disorder NOS
