drug_id,disease
CID100000581,Atelectasis
CID100000581,Bronchospasm
CID100000581,Bronchospasm
CID100000581,Bronchiectasis
CID100000581,Bronchiectasis
CID100000581,Bronchitis
CID100000581,Bronchitis
CID100000581,Cystic fibrosis
CID100000581,Cystic fibrosis
CID100000581,Pneumonia
CID100000581,Pneumonia
CID100000581,Emphysema
CID100000581,Emphysema
CID100000581,Tracheobronchitis
CID100000581,Tracheobronchitis
CID100000581,Tuberculosis
CID100000581,Tuberculosis
CID100000581,Aspartate aminotransferase increased
CID100000581,Aspartate aminotransferase increased
CID100000581,Liver injury
CID100000581,Traumatic liver injury
CID100000581,Liver injury
CID100000581,Hepatotoxicity
CID100000581,Hepatotoxicity
CID100000581,Primary amyloidosis
CID100000581,Primary amyloidosis
CID100000581,Eruption
CID100000581,Rash
CID100000581,Bronchopulmonary disease
CID100000581,Bronchopulmonary disease
CID100000581,Bronchitis asthmatic
CID100000581,Asthma
CID100000581,Bronchitis
CID100000596,Blast cell crisis
CID100000596,Blast cell crisis
CID100000596,Neoplasm malignant
CID100000596,Neoplasm malignant
CID100000596,Type IV hypersensitivity reaction
CID100000596,Type IV hypersensitivity reaction
CID100000596,Leukaemia
CID100000596,Leukaemia
CID100000596,Erythroleukaemia
CID100000596,Erythroleukaemia
CID100000596,Acute lymphocytic leukaemia
CID100000596,Acute lymphocytic leukaemia
CID100000596,Acute myeloid leukaemia
CID100000596,Acute leukaemia
CID100000596,Acute myeloid leukaemia
CID100000596,Chronic myeloid leukaemia
CID100000596,Chronic myeloid leukaemia
CID100000596,Lymphoma
CID100000596,Non-Hodgkin's lymphoma
CID100000596,Lymphoma
CID100000596,Non-Hodgkin's lymphoma
CID100000596,Non-Hodgkin's lymphoma
CID100000596,Meningeal neoplasm
CID100000596,Meningeal neoplasm
CID100000596,Myelodysplastic syndrome
CID100000596,Myelodysplastic syndrome
CID100000596,Neoplasm
CID100000596,Neoplasm
CID100000596,Tetanus
CID100000596,Tetanus
CID100000596,Acute leukaemia
CID100000596,Acute leukaemia
CID100000596,Solid tumour
CID100000596,Neoplasm
CID100000596,Meningeal leukemia
CID100000596,Leukaemic infiltration brain
CID100000596,Malignant transformation
CID100000596,Malignant transformation
CID100000596,Leptomeningeal metastases
CID100000596,Metastases to meninges
CID100000598,Cystitis haemorrhagic
CID100000598,Cystitis haemorrhagic
CID100000604,Hypocalcaemia
CID100000604,Hypocalcaemia
CID100000604,Hypoparathyroidism
CID100000604,Hypoparathyroidism
CID100000604,Hypocalcemic tetany
CID100000604,Tetany
CID100000604,Calcium deficiency
CID100000604,Calcium deficiency
CID100000612,Pruritus
CID100000612,Pruritus
CID100000612,Ichthyosis vulgaris
CID100000612,Ichthyosis
CID100000612,Dry skin
CID100000612,Dry skin
CID100000612,Skin irritation
CID100000612,Skin irritation
CID100000612,Xerosis
CID100000612,Xerosis
CID100000612,Skin scaly
CID100000612,Skin exfoliation
CID100000679,Bacterial infection
CID100000679,Bacterial infection
CID100000679,Skin disorder
CID100000679,Skin disorder
CID100000679,Cystitis interstitial
CID100000679,Cystitis interstitial
CID100000681,Cardiac output decreased
CID100000681,Cardiac output decreased
CID100000681,Coma
CID100000681,Coma
CID100000681,Confusional state
CID100000681,Feeling abnormal
CID100000681,Confusional state
CID100000681,Diuresis
CID100000681,Polyuria
CID100000681,Hypotension
CID100000681,Hypotension
CID100000681,Myocardial infarction
CID100000681,Myocardial infarction
CID100000681,Acute coronary syndrome
CID100000681,Pallor
CID100000681,Pallor
CID100000681,Renal failure
CID100000681,Renal failure
CID100000681,Septicemia
CID100000681,Sepsis
CID100000681,Shock
CID100000681,Shock
CID100000681,Cerebrovascular accident
CID100000681,Cerebrovascular accident
CID100000681,Angiopathy
CID100000681,Angiopathy
CID100000681,Trauma
CID100000681,Injury
CID100000681,Tachyarrhythmia
CID100000681,Tachyarrhythmia
CID100000681,Cardiac output increased
CID100000681,Cardiac failure high output
CID100000681,Cardiac output increased
CID100000681,Vasoconstriction peripheral
CID100000681,Vasoconstriction
CID100000681,Blood pressure increased
CID100000681,Blood pressure increased
CID100000681,Hypovolaemia
CID100000681,Hypovolaemia
CID100000681,Acute hypotension
CID100000681,Hypotension
CID100000681,Vascular resistance systemic decreased
CID100000681,Vascular resistance systemic decreased
CID100000681,Vascular resistance systemic
CID100000681,Vascular resistance systemic
CID100000681,Urine output
CID100000681,Urine output
CID100000681,Decompensation cardiac
CID100000681,Cardiac failure
CID100000698,Hypogonadism
CID100000698,Hypogonadism
CID100000698,Menopause
